Division ID,Division,State,Ordinary Yes Votes,Ordinary Yes % of Formal,Ordinary No Votes,Ordinary No % of Formal,Ordinary Informal Votes,Ordinary Informal % of Total,Absent Yes Votes,Absent Yes % of Formal,Absent No Votes,Absent No % of Formal,Absent Informal Votes,Absent Informal % of Total,Provisional Yes Votes,Provisional Yes % of Formal,Provisional No Votes,Provisional No % of Formal,Provisional Informal Votes,Provisional Informal % of Total,Pre-Poll Yes Votes,Pre-Poll Yes % of Formal,Pre-Poll No Votes,Pre-Poll No % of Formal,Pre-Poll Informal Votes,Pre-Poll Informal % of Total,Postal Yes Votes,Postal Yes % of Formal,Postal No Votes,Postal No % of Formal,Postal Informal Votes,Postal Informal % of Total
179,Adelaide,SA,44215,50.41,43494,49.59,980,1.1,3946,53.62,3413,46.38,86,1.16,897,53.97,765,46.03,18,1.07,2514,55.34,2029,44.66,21,0.46,5655,38.41,9068,61.59,110,0.74
197,Aston,VIC,34646,42.53,46807,57.47,927,1.13,1960,51,1883,49,42,1.08,184,45.21,223,54.79,2,0.49,1776,45.09,2163,54.91,25,0.63,4635,35.57,8397,64.43,84,0.64
198,Ballarat,VIC,36411,42.15,49979,57.85,924,1.06,1670,53.46,1454,46.54,26,0.83,189,44.89,232,55.11,5,1.17,2144,45.59,2559,54.41,35,0.74,3527,36.35,6175,63.65,70,0.72
103,Banks,NSW,31297,38.84,49287,61.16,1199,1.47,1755,43.97,2236,56.03,55,1.36,263,45.34,317,54.66,8,1.36,1578,44.92,1935,55.08,37,1.04,3335,35.16,6150,64.84,58,0.61
180,Barker,SA,20600,21.62,74666,78.38,868,0.9,1182,34.55,2239,65.45,20,0.58,194,26.25,545,73.75,10,1.34,1045,27.25,2790,72.75,26,0.67,2138,18.33,9529,81.67,69,0.59
104,Barton,NSW,34112,44.02,43375,55.98,1282,1.63,3410,53.61,2951,46.39,77,1.2,413,49.4,423,50.6,11,1.3,2933,55.62,2340,44.38,33,0.62,3607,40.95,5201,59.05,37,0.42
192,Bass,TAS,22570,39.02,35278,60.98,662,1.13,902,40.52,1324,59.48,25,1.11,126,30.96,281,69.04,3,0.73,1091,46.6,1250,53.4,11,0.47,3058,31.87,6537,68.13,60,0.62
318,Bean,ACT,49487,56.41,38243,43.59,796,0.9,1334,64.76,726,35.24,20,0.96,350,57.76,256,42.24,8,1.3,2455,59.31,1684,40.69,18,0.43,3311,50.68,3222,49.32,44,0.67
200,Bendigo,VIC,35810,40.67,52233,59.33,888,1,1409,52.97,1251,47.03,27,1,156,45.09,190,54.91,6,1.7,1883,46.69,2150,53.31,18,0.44,3468,33.58,6860,66.42,65,0.63
105,Bennelong,NSW,41315,48.86,43246,51.14,1004,1.17,2663,56.37,2061,43.63,46,0.96,336,53.42,293,46.58,6,0.94,2240,53.07,1981,46.93,24,0.57,5120,41.95,7086,58.05,80,0.65
106,Berowra,NSW,38221,47.65,41983,52.35,755,0.93,2241,48.54,2376,51.46,55,1.18,264,49.25,272,50.75,4,0.74,1953,45.75,2316,54.25,27,0.63,3923,38.33,6313,61.67,29,0.28
304,Blair,QLD,26646,30.42,60938,69.58,846,0.96,1772,35.43,3230,64.57,30,0.6,490,36.24,862,63.76,11,0.81,1459,30.99,3249,69.01,33,0.7,4028,23.3,13256,76.7,220,1.26
107,Blaxland,NSW,27920,38.6,44407,61.4,2176,2.92,1902,39.53,2909,60.47,80,1.64,447,40.9,646,59.1,17,1.53,1276,43.76,1640,56.24,37,1.25,2931,32.65,6046,67.35,66,0.73
310,Bonner,QLD,30293,41.78,42210,58.22,595,0.81,2803,49.45,2865,50.55,45,0.79,308,45.63,367,54.37,6,0.88,1459,42.31,1989,57.69,24,0.69,5759,31.55,12492,68.45,88,0.48
182,Boothby,SA,44192,48.75,46464,51.25,949,1.04,3537,55.36,2852,44.64,62,0.96,508,55.34,410,44.66,9,0.97,2762,50.63,2693,49.37,36,0.66,5967,38.99,9337,61.01,97,0.63
155,Bowman,QLD,23103,28.55,57825,71.45,749,0.92,1362,39.3,2104,60.7,34,0.97,160,31.5,348,68.5,9,1.74,1569,31.61,3395,68.39,33,0.66,4088,23.06,13642,76.94,58,0.33
193,Braddon,TAS,18113,27.62,47473,72.38,779,1.17,482,36.05,855,63.95,10,0.74,81,30.11,188,69.89,5,1.82,822,36.36,1439,63.64,11,0.48,1661,25.49,4855,74.51,39,0.59
108,Bradfield,NSW,42274,52.12,38836,47.88,740,0.9,2706,60.07,1799,39.93,48,1.05,258,54.78,213,45.22,3,0.63,2241,58.82,1569,41.18,21,0.55,4776,45.99,5608,54.01,87,0.83
235,Brand,WA,26202,30.98,58362,69.02,810,0.95,1708,38.32,2749,61.68,40,0.89,278,38.61,442,61.39,11,1.5,1642,30.54,3735,69.46,27,0.5,2363,25.34,6964,74.66,49,0.52
156,Brisbane,QLD,46118,57.45,34152,42.55,603,0.75,5210,60.16,3450,39.84,71,0.81,719,63.01,422,36.99,9,0.78,3918,55.23,3176,44.77,27,0.38,7091,45.97,8333,54.03,56,0.36
201,Bruce,VIC,33152,43.13,43719,56.87,930,1.2,2813,50.85,2719,49.15,63,1.13,429,51.13,410,48.87,6,0.71,1303,43.3,1706,56.7,12,0.4,4704,34.47,8941,65.53,87,0.63
317,Burt,WA,25872,33.62,51079,66.38,733,0.94,2387,40.17,3555,59.83,43,0.72,366,39.65,557,60.35,3,0.32,1871,33.85,3656,66.15,30,0.54,2290,26.11,6479,73.89,54,0.61
109,Calare,NSW,28039,28.24,71252,71.76,1009,1.01,1156,38.87,1818,61.13,37,1.23,151,34.16,291,65.84,4,0.9,1493,37.85,2452,62.15,20,0.5,1685,26.59,4652,73.41,21,0.33
203,Calwell,VIC,30349,41.19,43326,58.81,1266,1.69,2192,45.09,2669,54.91,80,1.62,381,48.47,405,51.53,10,1.26,1245,40.67,1816,59.33,19,0.62,4470,31.94,9526,68.06,130,0.92
101,Canberra,ACT,53971,71.13,21910,28.87,528,0.69,1350,69.05,605,30.95,15,0.76,467,69.39,206,30.61,7,1.03,5000,75.39,1632,24.61,34,0.51,4506,61.24,2852,38.76,38,0.51
236,Canning,WA,19557,23.36,64147,76.64,715,0.85,1690,32.4,3526,67.6,54,1.02,198,26.33,554,73.67,11,1.44,1389,25.99,3955,74.01,25,0.47,2032,20.41,7922,79.59,78,0.78
157,Capricornia,QLD,15950,19.7,65001,80.3,592,0.73,841,22.9,2832,77.1,21,0.57,158,20.39,617,79.61,5,0.64,740,20.83,2813,79.17,10,0.28,1513,14.37,9017,85.63,38,0.36
204,Casey,VIC,36545,43.06,48325,56.94,945,1.1,2362,49.69,2391,50.31,56,1.16,284,42.64,382,57.36,8,1.19,1772,45.52,2121,54.48,25,0.64,4711,34.6,8903,65.4,80,0.58
111,Chifley,NSW,37283,41.05,53547,58.95,1429,1.55,2351,44.04,2987,55.96,60,1.11,544,46.94,615,53.06,10,0.86,1428,43.36,1865,56.64,31,0.93,2951,30.75,6645,69.25,46,0.48
205,Chisholm,VIC,38202,50.8,37000,49.2,682,0.9,3354,62.92,1977,37.08,55,1.02,312,55.61,249,44.39,4,0.71,2745,53.34,2401,46.66,27,0.52,6306,42.67,8472,57.33,102,0.69
319,Clark,TAS,31867,59.09,22065,40.91,558,1.02,1690,58.4,1204,41.6,34,1.16,269,60.31,177,39.69,4,0.89,1854,67,913,33,13,0.47,3524,47.52,3892,52.48,49,0.66
112,Cook,NSW,30876,36.91,52772,63.09,940,1.11,1942,45.06,2368,54.94,46,1.06,312,42.98,414,57.02,11,1.49,1412,39.81,2135,60.19,19,0.53,3118,30.38,7145,69.62,56,0.54
320,Cooper,VIC,51753,66.6,25955,33.4,800,1.02,4484,72.02,1742,27.98,61,0.97,448,69.46,197,30.54,13,1.98,3222,72.39,1229,27.61,34,0.76,6146,53.95,5246,46.05,70,0.61
328,Corangamite,VIC,41548,49.06,43132,50.94,835,0.98,2736,54.88,2249,45.12,43,0.86,243,50.52,238,49.48,3,0.62,2565,50.06,2559,49.94,28,0.54,5475,38.63,8697,61.37,68,0.48
208,Corio,VIC,38286,46.19,44604,53.81,931,1.11,2390,54.84,1968,45.16,39,0.89,302,53.64,261,46.36,6,1.05,1877,51.3,1782,48.7,18,0.49,4811,39.42,7394,60.58,50,0.41
237,Cowan,WA,30750,37.08,52186,62.92,999,1.19,3195,46.83,3628,53.17,70,1.02,594,44.66,736,55.34,16,1.19,2433,40.97,3506,59.03,38,0.64,3023,31.51,6572,68.49,78,0.81
113,Cowper,NSW,34493,33.63,68060,66.37,1309,1.26,1340,43.3,1755,56.7,35,1.12,185,39.78,280,60.22,6,1.27,1830,39.96,2750,60.04,30,0.65,2529,31.45,5513,68.55,48,0.59
114,Cunningham,NSW,47599,52.27,43472,47.73,1111,1.21,1877,54.53,1565,45.47,30,0.86,300,54.64,249,45.36,9,1.61,2195,56.78,1671,43.22,23,0.59,3649,43.88,4667,56.12,37,0.44
238,Curtin,WA,44732,51.83,41565,48.17,683,0.79,3212,58.05,2321,41.95,42,0.75,527,60.57,343,39.43,10,1.14,2873,53.74,2473,46.26,27,0.5,4547,42.95,6039,57.05,71,0.67
158,Dawson,QLD,16432,19.65,67188,80.35,647,0.77,898,26.23,2526,73.77,22,0.64,196,26.96,531,73.04,6,0.82,1043,26.17,2942,73.83,23,0.57,1352,16.98,6610,83.02,40,0.5
209,Deakin,VIC,39198,49.88,39387,50.12,743,0.94,3065,55,2508,45,61,1.08,273,51.51,257,48.49,1,0.19,1982,48.41,2112,51.59,25,0.61,6695,39.56,10230,60.44,89,0.52
252,Dickson,QLD,27271,35.73,49058,64.27,676,0.88,2388,43.82,3062,56.18,44,0.8,286,36.76,492,63.24,13,1.64,1539,34.99,2860,65.01,16,0.36,5033,27,13611,73,85,0.45
115,Dobell,NSW,32032,35.47,58288,64.53,1148,1.26,1695,41.09,2430,58.91,52,1.24,296,38.95,464,61.05,4,0.52,1446,39.19,2244,60.81,26,0.7,2829,31.48,6159,68.52,37,0.41
210,Dunkley,VIC,35530,45.03,43377,54.97,849,1.06,2444,53.11,2158,46.89,53,1.14,277,48.68,292,51.32,6,1.04,1803,43.19,2372,56.81,25,0.6,4942,36.37,8645,63.63,76,0.56
312,Durack,WA,22741,28.47,57137,71.53,599,0.74,1534,33.42,3056,66.58,27,0.58,334,30.73,753,69.27,11,1,1914,30.23,4418,69.77,20,0.31,1423,17.09,6905,82.91,61,0.73
